,changepoint_prior_scale,holidays_prior_scale,seasonality_prior_scale,fourier_order,prior_scale,rmse,mae
213,0.01,20,10.0,7,0.1,1425070.6279963946,744390.4305235418
214,0.01,20,10.0,7,1.0,532946.794615112,342381.0815680679
215,0.01,20,10.0,7,5.0,414266.0123236532,283978.63001959125
216,0.1,5,0.01,3,0.1,497366.61462156486,390308.3011586178
217,0.1,5,0.01,3,1.0,560576.6414233876,352052.62948861415
218,0.1,5,0.01,3,5.0,563854.9171741423,353404.84157442034
219,0.1,5,0.01,5,0.1,497545.60693077696,389308.4271565223
220,0.1,5,0.01,5,1.0,559847.8914679557,351560.6006745184
221,0.1,5,0.01,5,5.0,562072.0144745123,352936.0742961632
222,0.1,5,0.01,7,0.1,500488.9823855425,389930.1403487605
223,0.1,5,0.01,7,1.0,561132.9634911044,352633.0249808623
224,0.1,5,0.01,7,5.0,563323.0885692287,353852.2697283479
225,0.1,5,0.1,3,0.1,269079.2866770128,170004.7991344761
226,0.1,5,0.1,3,1.0,298333.7767156648,193690.36969147532
227,0.1,5,0.1,3,5.0,327245.2175589602,219818.92015146266
228,0.1,5,0.1,5,0.1,286527.288114709,184774.9146538648
229,0.1,5,0.1,5,1.0,320106.0132034795,220704.6207756543
230,0.1,5,0.1,5,5.0,365527.54347837804,246192.18155008645
231,0.1,5,0.1,7,0.1,296879.7822440238,186727.93888880644
232,0.1,5,0.1,7,1.0,335253.5486407168,226688.12602451688
233,0.1,5,0.1,7,5.0,384037.89762488153,249953.66069083658
234,0.1,5,1.0,3,0.1,399993.5516024954,259238.18263112847
235,0.1,5,1.0,3,1.0,449771.24417779566,307163.25447489007
236,0.1,5,1.0,3,5.0,632776.3545216824,471378.52678138827
237,0.1,5,1.0,5,0.1,440914.5024147138,283712.3585089217
238,0.1,5,1.0,5,1.0,475658.95878929284,323771.4570408727
239,0.1,5,1.0,5,5.0,587636.7917388843,433877.68054506334
240,0.1,5,1.0,7,0.1,435136.7884385913,285175.56621225155
241,0.1,5,1.0,7,1.0,482617.4888607877,339853.71432570956
242,0.1,5,1.0,7,5.0,650446.1074368209,484405.37363240635
243,0.1,5,10.0,3,0.1,519360.3683712649,328127.27130488155
244,0.1,5,10.0,3,1.0,516507.31659706164,342759.56236712454
245,0.1,5,10.0,3,5.0,883085.216335155,632153.3014679754
246,0.1,5,10.0,5,0.1,683827.8550390351,415664.0646239081
247,0.1,5,10.0,5,1.0,526668.1882853028,345851.82543974323
248,0.1,5,10.0,5,5.0,747057.2045401965,546685.2114820156
249,0.1,5,10.0,7,0.1,1621665.809080408,846206.964383293
250,0.1,5,10.0,7,1.0,692573.521010499,437055.5256333933
251,0.1,5,10.0,7,5.0,1774011.62626634,1379744.9986482009
252,0.1,10,0.01,3,0.1,497366.61462156486,390308.3011586178
253,0.1,10,0.01,3,1.0,560576.6414233876,352052.62948861415
254,0.1,10,0.01,3,5.0,563854.9171741423,353404.84157442034
255,0.1,10,0.01,5,0.1,497545.60693077696,389308.4271565223
256,0.1,10,0.01,5,1.0,559847.8914679557,351560.6006745184
257,0.1,10,0.01,5,5.0,562072.0144745123,352936.0742961632
258,0.1,10,0.01,7,0.1,500488.9823855425,389930.1403487605
259,0.1,10,0.01,7,1.0,561132.9634911044,352633.0249808623
260,0.1,10,0.01,7,5.0,563323.0885692287,353852.2697283479
261,0.1,10,0.1,3,0.1,269079.2866770128,170004.7991344761
262,0.1,10,0.1,3,1.0,298333.7767156648,193690.36969147532
263,0.1,10,0.1,3,5.0,327245.2175589602,219818.92015146266
264,0.1,10,0.1,5,0.1,286527.288114709,184774.9146538648
265,0.1,10,0.1,5,1.0,320106.0132034795,220704.6207756543
266,0.1,10,0.1,5,5.0,365527.54347837804,246192.18155008645
267,0.1,10,0.1,7,0.1,296879.7822440238,186727.93888880644
268,0.1,10,0.1,7,1.0,335253.5486407168,226688.12602451688
269,0.1,10,0.1,7,5.0,384037.89762488153,249953.66069083658
270,0.1,10,1.0,3,0.1,399993.5516024954,259238.18263112847
271,0.1,10,1.0,3,1.0,449771.24417779566,307163.25447489007
272,0.1,10,1.0,3,5.0,632776.3545216824,471378.52678138827
273,0.1,10,1.0,5,0.1,440914.5024147138,283712.3585089217
274,0.1,10,1.0,5,1.0,475658.95878929284,323771.4570408727
275,0.1,10,1.0,5,5.0,587636.7917388843,433877.68054506334
276,0.1,10,1.0,7,0.1,435136.7884385913,285175.56621225155
277,0.1,10,1.0,7,1.0,482617.4888607877,339853.71432570956
278,0.1,10,1.0,7,5.0,650446.1074368209,484405.37363240635
279,0.1,10,10.0,3,0.1,519360.3683712649,328127.27130488155
280,0.1,10,10.0,3,1.0,516507.31659706164,342759.56236712454
281,0.1,10,10.0,3,5.0,883085.216335155,632153.3014679754
282,0.1,10,10.0,5,0.1,683827.8550390351,415664.0646239081
283,0.1,10,10.0,5,1.0,526668.1882853028,345851.82543974323
284,0.1,10,10.0,5,5.0,747057.2045401965,546685.2114820156
285,0.1,10,10.0,7,0.1,1621665.809080408,846206.964383293
286,0.1,10,10.0,7,1.0,692573.521010499,437055.5256333933
287,0.1,10,10.0,7,5.0,1774011.62626634,1379744.9986482009
288,0.1,20,0.01,3,0.1,497366.61462156486,390308.3011586178
289,0.1,20,0.01,3,1.0,560576.6414233876,352052.62948861415
290,0.1,20,0.01,3,5.0,563854.9171741423,353404.84157442034
291,0.1,20,0.01,5,0.1,497545.60693077696,389308.4271565223
292,0.1,20,0.01,5,1.0,559847.8914679557,351560.6006745184
293,0.1,20,0.01,5,5.0,562072.0144745123,352936.0742961632
294,0.1,20,0.01,7,0.1,500488.9823855425,389930.1403487605
295,0.1,20,0.01,7,1.0,561132.9634911044,352633.0249808623
296,0.1,20,0.01,7,5.0,563323.0885692287,353852.2697283479
297,0.1,20,0.1,3,0.1,269079.2866770128,170004.7991344761
298,0.1,20,0.1,3,1.0,298333.7767156648,193690.36969147532
299,0.1,20,0.1,3,5.0,327245.2175589602,219818.92015146266
300,0.1,20,0.1,5,0.1,286527.288114709,184774.9146538648
301,0.1,20,0.1,5,1.0,320106.0132034795,220704.6207756543
302,0.1,20,0.1,5,5.0,365527.54347837804,246192.18155008645
303,0.1,20,0.1,7,0.1,296879.7822440238,186727.93888880644
304,0.1,20,0.1,7,1.0,335253.5486407168,226688.12602451688
305,0.1,20,0.1,7,5.0,384037.89762488153,249953.66069083658
306,0.1,20,1.0,3,0.1,399993.5516024954,259238.18263112847
307,0.1,20,1.0,3,1.0,449771.24417779566,307163.25447489007
308,0.1,20,1.0,3,5.0,632776.3545216824,471378.52678138827
309,0.1,20,1.0,5,0.1,440914.5024147138,283712.3585089217
310,0.1,20,1.0,5,1.0,475658.95878929284,323771.4570408727
311,0.1,20,1.0,5,5.0,587636.7917388843,433877.68054506334
312,0.1,20,1.0,7,0.1,435136.7884385913,285175.56621225155
313,0.1,20,1.0,7,1.0,482617.4888607877,339853.71432570956
314,0.1,20,1.0,7,5.0,650446.1074368209,484405.37363240635
315,0.1,20,10.0,3,0.1,519360.3683712649,328127.27130488155
316,0.1,20,10.0,3,1.0,516507.31659706164,342759.56236712454
317,0.1,20,10.0,3,5.0,883085.216335155,632153.3014679754
318,0.1,20,10.0,5,0.1,683827.8550390351,415664.0646239081
319,0.1,20,10.0,5,1.0,526668.1882853028,345851.82543974323
320,0.1,20,10.0,5,5.0,747057.2045401965,546685.2114820156
321,0.1,20,10.0,7,0.1,1621665.809080408,846206.964383293
322,0.1,20,10.0,7,1.0,692573.521010499,437055.5256333933
323,0.1,20,10.0,7,5.0,1774011.62626634,1379744.9986482009
324,0.5,5,0.01,3,0.1,498215.7512736764,385548.16253915895
325,0.5,5,0.01,3,1.0,531779.769474026,385005.68131003546
326,0.5,5,0.01,3,5.0,550123.6969288542,395795.53147350356
327,0.5,5,0.01,5,0.1,498699.8135455678,384447.4233396566
328,0.5,5,0.01,5,1.0,535270.2423524291,391342.84650828154
329,0.5,5,0.01,5,5.0,565850.132809737,413166.7396770214
330,0.5,5,0.01,7,0.1,501684.2109146642,386135.07539187593
331,0.5,5,0.01,7,1.0,542134.0112478987,399521.2918451524
332,0.5,5,0.01,7,5.0,570202.9755884957,419181.6946085921
333,0.5,5,0.1,3,0.1,270803.1228429362,171347.21807853307
334,0.5,5,0.1,3,1.0,357173.63194194745,239278.83442896677
335,0.5,5,0.1,3,5.0,452570.8574652875,314465.3418202307
336,0.5,5,0.1,5,0.1,295134.3502218878,191198.72960162174
337,0.5,5,0.1,5,1.0,379038.88762899593,263419.7546152015
338,0.5,5,0.1,5,5.0,473130.10891411087,341101.6688326283
339,0.5,5,0.1,7,0.1,308566.0860674858,197724.85223690543
340,0.5,5,0.1,7,1.0,432121.9196455857,281602.04465859506
341,0.5,5,0.1,7,5.0,560237.5289999422,395745.5698789541
342,0.5,5,1.0,3,0.1,536805.3333411322,369195.8113553548
343,0.5,5,1.0,3,1.0,747836.3378003694,497175.99204065907
344,0.5,5,1.0,3,5.0,953476.0472339342,698902.5661887024
345,0.5,5,1.0,5,0.1,554034.9570614961,357189.0335076615
346,0.5,5,1.0,5,1.0,1123733.533756443,801961.5792382734
347,0.5,5,1.0,5,5.0,885678.4720579919,643269.5681849244
348,0.5,5,1.0,7,0.1,527182.0918130933,352517.2013109696
349,0.5,5,1.0,7,1.0,1041421.5205609549,734153.871474979
350,0.5,5,1.0,7,5.0,943530.7964165646,690569.5255333356
351,0.5,5,10.0,3,0.1,660235.2105570533,429182.01779764675
352,0.5,5,10.0,3,1.0,1112410.2204724282,783954.1248362005
353,0.5,5,10.0,3,5.0,940989.7632169238,647720.4695979103
354,0.5,5,10.0,5,0.1,742323.0015770453,451844.74566009594
355,0.5,5,10.0,5,1.0,1163172.337530969,811095.7738779031
356,0.5,5,10.0,5,5.0,2328445.6471776906,1388000.3201465819
357,0.5,5,10.0,7,0.1,1732787.5422307272,894808.053884755
358,0.5,5,10.0,7,1.0,1880490.9074288649,1183523.4636389157
359,0.5,5,10.0,7,5.0,1097992.5712209179,698080.9662232238
360,0.5,10,0.01,3,0.1,498215.7512736764,385548.16253915895
361,0.5,10,0.01,3,1.0,531779.769474026,385005.68131003546
362,0.5,10,0.01,3,5.0,550123.6969288542,395795.53147350356
363,0.5,10,0.01,5,0.1,498699.8135455678,384447.4233396566
364,0.5,10,0.01,5,1.0,535270.2423524291,391342.84650828154
365,0.5,10,0.01,5,5.0,565850.132809737,413166.7396770214
366,0.5,10,0.01,7,0.1,501684.2109146642,386135.07539187593
367,0.5,10,0.01,7,1.0,542134.0112478987,399521.2918451524
368,0.5,10,0.01,7,5.0,570202.9755884957,419181.6946085921
369,0.5,10,0.1,3,0.1,270803.1228429362,171347.21807853307
370,0.5,10,0.1,3,1.0,357173.63194194745,239278.83442896677
371,0.5,10,0.1,3,5.0,452570.8574652875,314465.3418202307
372,0.5,10,0.1,5,0.1,295134.3502218878,191198.72960162174
373,0.5,10,0.1,5,1.0,379038.88762899593,263419.7546152015
374,0.5,10,0.1,5,5.0,473130.10891411087,341101.6688326283
375,0.5,10,0.1,7,0.1,308566.0860674858,197724.85223690543
376,0.5,10,0.1,7,1.0,432121.9196455857,281602.04465859506
377,0.5,10,0.1,7,5.0,560237.5289999422,395745.5698789541
378,0.5,10,1.0,3,0.1,536805.3333411322,369195.8113553548
379,0.5,10,1.0,3,1.0,747836.3378003694,497175.99204065907
380,0.5,10,1.0,3,5.0,953476.0472339342,698902.5661887024
381,0.5,10,1.0,5,0.1,554034.9570614961,357189.0335076615
382,0.5,10,1.0,5,1.0,1123733.533756443,801961.5792382734
383,0.5,10,1.0,5,5.0,885678.4720579919,643269.5681849244
384,0.5,10,1.0,7,0.1,527182.0918130933,352517.2013109696
385,0.5,10,1.0,7,1.0,1041421.5205609549,734153.871474979
386,0.5,10,1.0,7,5.0,943530.7964165646,690569.5255333356
387,0.5,10,10.0,3,0.1,660235.2105570533,429182.01779764675
388,0.5,10,10.0,3,1.0,1112410.2204724282,783954.1248362005
389,0.5,10,10.0,3,5.0,940989.7632169238,647720.4695979103
390,0.5,10,10.0,5,0.1,742323.0015770453,451844.74566009594
391,0.5,10,10.0,5,1.0,1163172.337530969,811095.7738779031
392,0.5,10,10.0,5,5.0,2328445.6471776906,1388000.3201465819
393,0.5,10,10.0,7,0.1,1732787.5422307272,894808.053884755
394,0.5,10,10.0,7,1.0,1880490.9074288649,1183523.4636389157
395,0.5,10,10.0,7,5.0,1097992.5712209179,698080.9662232238
396,0.5,20,0.01,3,0.1,498215.7512736764,385548.16253915895
397,0.5,20,0.01,3,1.0,531779.769474026,385005.68131003546
398,0.5,20,0.01,3,5.0,550123.6969288542,395795.53147350356
399,0.5,20,0.01,5,0.1,498699.8135455678,384447.4233396566
400,0.5,20,0.01,5,1.0,535270.2423524291,391342.84650828154
401,0.5,20,0.01,5,5.0,565850.132809737,413166.7396770214
402,0.5,20,0.01,7,0.1,501684.2109146642,386135.07539187593
403,0.5,20,0.01,7,1.0,542134.0112478987,399521.2918451524
404,0.5,20,0.01,7,5.0,570202.9755884957,419181.6946085921
405,0.5,20,0.1,3,0.1,270803.1228429362,171347.21807853307
406,0.5,20,0.1,3,1.0,357173.63194194745,239278.83442896677
407,0.5,20,0.1,3,5.0,452570.8574652875,314465.3418202307
408,0.5,20,0.1,5,0.1,295134.3502218878,191198.72960162174
409,0.5,20,0.1,5,1.0,379038.88762899593,263419.7546152015
410,0.5,20,0.1,5,5.0,473130.10891411087,341101.6688326283
411,0.5,20,0.1,7,0.1,308566.0860674858,197724.85223690543
412,0.5,20,0.1,7,1.0,432121.9196455857,281602.04465859506
413,0.5,20,0.1,7,5.0,560237.5289999422,395745.5698789541
414,0.5,20,1.0,3,0.1,536805.3333411322,369195.8113553548
415,0.5,20,1.0,3,1.0,747836.3378003694,497175.99204065907
416,0.5,20,1.0,3,5.0,953476.0472339342,698902.5661887024
417,0.5,20,1.0,5,0.1,554034.9570614961,357189.0335076615
418,0.5,20,1.0,5,1.0,1123733.533756443,801961.5792382734
419,0.5,20,1.0,5,5.0,885678.4720579919,643269.5681849244
420,0.5,20,1.0,7,0.1,527182.0918130933,352517.2013109696
421,0.5,20,1.0,7,1.0,1041421.5205609549,734153.871474979
422,0.5,20,1.0,7,5.0,943530.7964165646,690569.5255333356
423,0.5,20,10.0,3,0.1,660235.2105570533,429182.01779764675
424,0.5,20,10.0,3,1.0,1112410.2204724282,783954.1248362005
425,0.5,20,10.0,3,5.0,940989.7632169238,647720.4695979103
426,0.5,20,10.0,5,0.1,742323.0015770453,451844.74566009594
427,0.5,20,10.0,5,1.0,1163172.337530969,811095.7738779031
428,0.5,20,10.0,5,5.0,2328445.6471776906,1388000.3201465819
429,0.5,20,10.0,7,0.1,1732787.5422307272,894808.053884755
430,0.5,20,10.0,7,1.0,1880490.9074288649,1183523.4636389157
431,0.5,20,10.0,7,5.0,1097992.5712209179,698080.9662232238
